lat,lon,diam
51.0134,202.789,24.664
50.0089,209.648,97.4291
48.2149,207.516,33.7376
48.2592,204.758,20.7874
47.4781,203.327,20.3113
48.5683,204.764,71.8791
50.1301,206.441,85.5574
50.1687,201.325,63.6914
50.1897,198.292,40.0245
51.4571,197.38,58.7791
53.4684,190.549,22.5883
50.5029,194.106,22.5078
51.636,192.071,38.031
50.0439,195.078,53.3659
48.9212,195.344,35.6677
48.7193,193.47,39.7527
50.1113,189.15,39.8869
51.5608,187.316,78.2518
48.9865,189.171,59.3627
48.1774,187.419,28.5498
48.7767,185.439,30.8151
51.4517,181.631,33.7205
49.3269,183.973,121.902
47.404,180.894,27.3943
46.9884,184.266,61.6029
46.4142,183.179,26.5663
45.5611,181.431,20.736
45.1367,186.578,56.8646
45.1354,187.995,20.8921
42.2354,181.121,25.7474
42.9482,185.97,31.7068
47.1455,187.476,28.1223
46.364,189.628,26.53
42.2687,186.137,27.9887
41.478,186.007,23.1977
41.41,186.859,22.731
45.2125,190.635,33.7964
43.8063,194.17,23.8924
44.12,194.445,23.5486
43.9815,197.001,21.1657
42.9476,198.391,32.542
45.6617,198.746,38.3918
44.8806,200.187,45.549
45.9644,201.296,27.5481
46.2626,200.18,34.7061
46.0972,204.346,26.2869
46.977,199.966,86.241
48.299,197.402,34.4241
44.7687,204.502,43.8575
45.9387,205.967,23.3138
46.0121,206.238,36.3144
44.7816,207.269,44.4665
46.9127,208.847,23.5526
42.8629,205.546,20.5076
41.9933,205.404,59.6559
44.4282,211.175,31.1972
47.2129,210.602,34.4629
46.0709,214.932,54.2897
44.1714,209.167,86.4455
48.3531,212.92,35.3701
48.0692,221.192,25.0704
47.4003,218.192,76.8596
47.1749,221.043,100.559
47.543,223.757,35.2314
44.7499,217.908,34.4745
44.9795,221.295,44.3164
42.5058,222.018,46.7246
42.1966,218.072,75.8957
42.4759,214.86,140.927
44.3082,218.999,85.0421
47.4015,225.9,20.0636
45.9889,225.74,20.1534
45.2397,224.006,22.0745
47.4636,228.457,26.4583
44.9413,230.311,44.736
43.0785,228.808,31.288
42.6381,224.679,52.5948
41.7792,223.985,20.4213
47.8971,232.133,20.6247
42.5274,234.748,40.6042
46.4648,237.841,26.2373
43.4545,236.038,37.1596
42.6643,237.432,21.9676
47.0365,240.915,22.121
46.8064,239.631,44.0721
46.3553,240.326,59.5349
43.5677,238.682,70.6434
43.5561,239.79,40.855
41.6332,235.125,56.4801
41.9259,229.665,30.6989
41.9809,231.105,61.9452
42.1593,232.16,85.7021
41.9286,240.283,22.3476
45.5534,244.913,23.5745
47.1068,243.644,49.0237
45.1977,246.23,91.6485
42.0976,245.752,30.8223
43.1639,247.734,31.213
44.3488,251.887,25.3412
46.3219,251.217,113.059
47.0277,255.412,30.3473
46.8084,256.318,77.9019
41.3188,252.093,55.8603
43.5978,250.501,28.5414
40.4981,247.214,47.2107
39.7321,252.442,26.0304
39.7463,255.243,29.089
39.0311,254.328,33.4452
42.2153,256.757,88.9401
41.453,258.635,37.7092
47.0334,263.016,30.9017
